tx_hash,block_time,original_amount_raw
0x9be9fa9a34bcf5c593d4226300f187f1bbfad51cd6038739b54999550a68a8fe,2022-07-27 06:42,15000000000000000
0x1787cd64fb70ff7148a155a9eecd3b0d8699695cd622bddf4cff87c611622d0d,2022-07-27 06:38,20000000000000000
0xfe05625055f6f8c6eb74b0fb9c07f69ab6107fbb2b7d68fa54b864e2bb442f5a,2022-07-27 06:34,1500000000000000000
0x5e2db06bf504d4fbe7534e9508a503488b41aefbfa985c26cb1646346b92ccb4,2022-07-27 06:32,15000000000000000
0xcd716a74c133c4c385043a2489785dc5ec63a0beee67b95ade54d478ef2065b5,2022-07-27 06:25,800000000
0xe062bbde136f1ff1b4a7b4b92b2bd8d191c0caf005df82b98ed32af31fa800cd,2022-07-27 06:52,690000000000000000
0xb84d6890e63d64aadb951991c0ced2a81f5fa6fee40b92d05b513271a9eead8c,2022-07-27 06:22,800000000
0x9fa2d02b638338088fcb55d7913e190bf35804d925ac9d1011d16324d46d65c8,2022-07-27 06:04,214938000000000000
0xaeb462480cb761ec405ef15c3a1f4adb7eb44184581ca4746f47e4bd0a4c3c1a,2022-07-27 05:40,455617000000000000
0xc33102c557951ebba9ed2bdeac5fa0074e501c61774b091d54d04de82ababab1,2022-07-27 05:23,1656000000
