blockchain,hour,wallet_address,token_address,symbol,amount_raw,amount,tx_num
bnb,2022-10-04T20:00:00,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,868352,2.27373675443232E-13,17014
bnb,2022-10-03T19:00:00,0xdbaf4fd2e3d5cccd8185b8638f72edf0ee30ea59,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,27369374653552520000,27.3693746535525,147
bnb,2022-10-05T13:00:00,0x3a6d8ca21d1cf76f653a67577fa0d27453350dd8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,-8192,0,316
bnb,2022-10-04T08:00:00,0x39dd07ac211c33e796e6d89c4df9481e0b60ecfe,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,-336882535634958750000,-336.882535634959,430
bnb,2022-10-04T11:00:00,0x4d394e7bf612a5ad37fa63134a228657f5cadf00,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,59694840320114424,0.0596948403201143,64
bnb,2022-10-04T02:00:00,0xb86f4f45c645725015743fe9796c038d4ba2f0d3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,-85920802457886750,-0.0859208024578868,9
bnb,2022-10-03T23:00:00,0xce8e80d9ea0374e48f9b27e88ce37f9f1b8109bc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,7367061323292672000,7.36706132329267,266
bnb,2022-10-05T12:00:00,0x99c2d5977b94bdfdf91ee36f613e330e8102e326,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,338383462738486800,0.338383462738486,35
bnb,2022-10-04T17:00:00,0x3f2ae62d015f4ab91b39e305b0aee2067d1ba23c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,-4546194516758529500,-4.54619451675853,59
bnb,2022-10-05T15:00:00,0xff6d961b3a03064af593834655efc7f734678e95,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,443920666826066,0.000443920666825817,61
