tx_hash,block_number,evt_index,contract_address,block_time,block_date,maker,taker,taker_token,taker_symbol,maker_token,maker_symbol,token_pair,taker_token_amount,taker_token_amount_raw,maker_token_amount,maker_token_amount_raw,type,affiliate_address,swap_flag,matcha_limit_order_flag,volume_usd,tx_from,tx_to,blockchain
0x865add6d941eb016440fee37e8b573cd3c3967983d5c1111cbd5793fe212342a,1.1656674e+07,28,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2021-01-15 01:28:39.000 UTC,2021-01-15,0xc6093fd9cc143f9f058938868b2df2daf9a91d28,0xefd5c3b853472d0c2766b98469b433f2878beca3,0x307861306238363939316336323138623336633164313964346132653965623063653336303665623438,USDC,0x307863303261616133396232323366653864306130653563346632376561643930383363373536636332,WETH,USDC-WETH,27,27000000,0.01999333555481506,19993335554815061,RfqOrderFilled,,false,false,24.90249916694435,0xefd5c3b853472d0c2766b98469b433f2878beca3,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ethereum
0x2c05c856b8911a484f2f1e701abca7ac02c09538ccd6451fc18974d75b5618ac,1.2343956e+07,45,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2021-04-30 20:29:20.000 UTC,2021-04-30,0x2fa96250cf4eafe165ed7cd3f05e32a99e271566,0xcd79272e57a870c0b1f69a8c840244364c4a0260,0x307861306238363939316336323138623336633164313964346132653965623063653336303665623438,USDC,0x307830626335323963303063363430316165663664323230626538633665613136363766366164393365,YFI,USDC-YFI,6985,6985000000,0.14231471783585867,142314717835858652,RfqOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,6991.503035,0xcd79272e57a870c0b1f69a8c840244364c4a0260,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ethereum
0xd09b6b9dd3ff7ee3c3f27837b65573bf6a4040fc5b5e7e394775a8da37eb0ea9,1.2344812e+07,235,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2021-04-30 23:30:09.000 UTC,2021-04-30,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xbada293b03689c959e98081df0a878cd651d5e32,0x307864616331376639353864326565353233613232303632303639393435393763313364383331656337,USDT,0x307861306238363939316336323138623336633164313964346132653965623063653336303665623438,USDC,USDC-USDT,20476.6929,20476692900,20484.084986,20484084986,RfqOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,20492.95459479894,0xbada293b03689c959e98081df0a878cd651d5e32,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ethereum
0xaca4baab7e29301e4d5b4f021687ad0157b37313dd441068c7274ea3792aa9a1,3.7058622e+07,277,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-12-20 13:14:43.000 UTC,2022-12-20,0xaf0b0000f0210d0f421f0009c72406703b50506b,0x5dde81da52c3e3a2cee63bd81a7f11baeccb863b,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,USDT-WMATIC,31.409439,31409439,39.168508623169956,39168508623169953792,OtcOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,31.394852222255285,0xf44040ec9d35425dcab04f04fe0b9818481cb6da,0xdef1c0ded9bec7f1a1670819833240f027b25eff,polygon
0x87eea3ad199be056de2582d3ca95cd8e791b49b5a944b12bc1c27f1e07c256f2,3.7065799e+07,134,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-12-20 17:32:56.000 UTC,2022-12-20,0xaf0b0000f0210d0f421f0009c72406703b50506b,0x13fc26809db5fb84fcb45a3008b0c33f182b3c22,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,USDC-WMATIC,0.5,500000,0.6270022465888172,627002246588817152,OtcOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,0.5007534632314191,0x7f630b7db949fc936b4de35e502ff7f32cdfff20,0xdef1c0ded9bec7f1a1670819833240f027b25eff,polygon
0x25db4cec80a45c3159e67c5e266939c833f67de9cba623e594e6c46c357ab9e1,1.2342909e+07,361,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2021-04-30 16:30:30.000 UTC,2021-04-30,0x1e6424a481e6404ed2858d540aec37399671f5e0,0xe3ac094f7c8526a3694fc240bfc40c9aa0a544b1,0x307838356535393764393364653235306232353931373734363134323763663334626632363766323339,,0x307861306238363939316336323138623336633164313964346132653965623063653336303665623438,USDC,,,3100000000,11813.965918,11813965918,LimitOrderFilled,0x0000000000000000000000000000000000000000,false,false,11817.202944661532,0xe3ac094f7c8526a3694fc240bfc40c9aa0a544b1,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ethereum
0x35ededd7366ef801af76aa51ec538095f3395fa5318fa480eb3765074dfe30ad,1.2341765e+07,24,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2021-04-30 12:15:28.000 UTC,2021-04-30,0x251e256ed3b8889909309cf19fc3421660498455,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x307863303065393463623636326333353230323832653666353731373231343030346137663236383838,COMP,0x307863303261616133396232323366653864306130653563346632376561643930383363373536636332,WETH,COMP-WETH,7.998031392469606,7998031392469605896,3.999015696234803,3999015696234802948,RfqOrderFilled,,false,false,11007.250713729332,0xca77dc47eec9e1c46c9f541ba0f222e741d6236b,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,ethereum
0x01eff0e406b2e135a151438c2ca5b1aa534d51581ed6379b06e22ca1ea92788a,3.7040813e+07,283,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-12-20 02:19:24.000 UTC,2022-12-20,0xaf0b0000f0210d0f421f0009c72406703b50506b,0x4aede7ed3d64c20062727951232b9a2f903fbeb5,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,WMATIC,USDT-WMATIC,2,2000000,2.539203576216022,2539203576216022016,OtcOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,1.987546364061634,0xd84fee90443c8cebefddd99d2f7098bf1b403dc9,0xdef1c0ded9bec7f1a1670819833240f027b25eff,polygon
0x1aa02cdcbabed5699784256c5fc94090ae49ee729d8a1bfa15409c36a96cf999,3.7039554e+07,595,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-12-20 01:33:57.000 UTC,2022-12-20,0xaf0b0000f0210d0f421f0009c72406703b50506b,0x65aaeec60c6149bf18753f5d2c361ecbba22651a,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,USDC-USDT,11,11000000,10.994032,10994032,OtcOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,10.999726908576001,0x7ff41ecd5db04431753d46e1b0873b9be2c97b5a,0xdef1c0ded9bec7f1a1670819833240f027b25eff,polygon
0xac3855c64435bc048b4795be8c81ec9ecdcad0093553d0a05760b990d93a8cda,3.7046258e+07,201,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-12-20 05:41:30.000 UTC,2022-12-20,0xaf0b0000f0210d0f421f0009c72406703b50506b,0x72ccc2dd3c3e06f21504069a4732b10a26800f7d,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT,USDC-USDT,30,30000000,29.985556,29985556,OtcOrderFilled,0x86003b044f70dac0abc80ac8957305b6370893ed,true,false,30.016740978239998,0x81fd0a1d13059e473c1e02d73705124315e14cba,0xdef1c0ded9bec7f1a1670819833240f027b25eff,polygon
