block_time,block_date,block_month,bot,block_number,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_percentage_fraction,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_hash,evt_index,is_last_trade_in_transaction
2024-04-28 00:09:46.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38240280,bnb,0.10862912339480275,Sell,0.10855769243318171,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.10865729548988187,USDT,0x55d398326f99059ff775485246999027b3197955,0.002,0.00021781585168961795,0.000217750091162087,USDT,0x55d398326f99059ff775485246999027b3197955,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x2056f8147dc27f3cc6995ed1015c7c210f00ab57,0x16cb0270f8d7f38aa6d35b01483ebcf1ab755beaf7c4346150aa2e27aff85b5f,170,true
2024-04-28 03:28:58.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38244263,bnb,0.11445468396959096,Sell,0.11456099657441203,USDT,0x55d398326f99059ff775485246999027b3197955,0.1145704,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.000229512752,0.0002296,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x3b11db19aa3fc94b5c89161a4538b68156701ead,0x5ca1ba7afb286eef6d47e039b389e5d991af6a8ba0e742b3116b54e3bf397f88,218,true
2024-04-28 04:27:41.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38245436,bnb,0.16709745691065964,Sell,0.16708008058227905,USDT,0x55d398326f99059ff775485246999027b3197955,0.16709378915820072,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.00033501869411738393,0.000334857292902205,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x2fdeb62361d3c3aa52f2bc287467bbc8be16e1c9,0xd08f873a5cbe130e6b331425a70fa5474de4d5b3ca3d5f867b6a0fc5faf9746c,307,true
2024-04-28 05:03:14.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38246146,bnb,0.05268021212023216,Sell,0.05265967484704182,USDT,0x55d398326f99059ff775485246999027b3197955,0.05266399008292569,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.00010562222306034254,0.000105539058282416,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x2b0edaec4d7ed750bc2b6cf620be597f236fc1f9,0x504c49b29df238595a5181ac02594bc2e8181a8686239d00dffa85867e8800fa,395,true
2024-04-28 06:21:37.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38247713,bnb,0.03565089614761838,Sell,0.03565057529244075,USDT,0x55d398326f99059ff775485246999027b3197955,0.035653496240448786,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.00007149712064421545,0.000071449892265428,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0xa2ec3f3af677951f11f6e71286c2b923d657d92a,0x342df076ca3f7847794c22ce4605ff82429529cdce1403b1d012ea0100a85e69,315,true
2024-04-28 06:33:58.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38247960,bnb,0.17387509450528815,Sell,0.17374322339872852,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.17390286983544595,USDT,0x55d398326f99059ff775485246999027b3197955,0.002,0.0003486658444459494,0.000348502745161214,USDT,0x55d398326f99059ff775485246999027b3197955,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x025d752e359e1f1311cb951a94b3c5c29e277ba4,0x78e49484b0722d4831ce049d11ab509b9676126db51cd89db63866a876399e25,294,true
2024-04-28 10:51:32.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38253095,bnb,0.0738150319429729,Sell,0.0737364289097551,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.073805094,USDT,0x55d398326f99059ff775485246999027b3197955,0.002,0.000148001695182,0.000147906,USDT,0x55d398326f99059ff775485246999027b3197955,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0xc45fe52ad3fad012fc9435d316f2df4d5e84ea78,0x3ca4af0f353c7744d6f458fec1447e7547bb4c24531b7ca1d42319b5caf08ecf,516,true
2024-04-28 14:59:04.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38258043,bnb,0.10499539806699915,Sell,0.10490413147261797,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.10500213973085065,USDT,0x55d398326f99059ff775485246999027b3197955,0.002,0.00021048531130824326,0.000210425129721143,USDT,0x55d398326f99059ff775485246999027b3197955,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0xe3e2f77a249347eb3dff255ccc5233cf689b5a16,0x7ebd1b489eadbcbebc411d736435e96579e45e76b205ba9040bce48f61bba2c1,446,true
2024-04-28 22:42:44.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38267312,bnb,0.010237991061053754,Sell,0.010220677233819662,USDT,0x55d398326f99059ff775485246999027b3197955,0.010221366642596845,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.000020510411432261282,0.000020483700686566,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x9022c1a1bd9df34c847d1098cb0df307a75df77d,0x9abee3d086f68783b8a956542d6d67c0299ccbf7b465954cb958103443d6a3da,192,true
2024-04-28 23:19:17.000 UTC,2024-04-28 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Udex,38268041,bnb,0.12628597723419663,Sell,0.12610451284021956,USDT,0x55d398326f99059ff775485246999027b3197955,0.12611302848,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0.002,0.00025301887573824,0.00025273152,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,pancakeswap,3,USDC-USDT,0x4f31fa980a675570939b737ebdde0471a4be40eb,0x2ed50cb116f6c7141d2e32890edda432909901c5,0xd62eeb4c7f6f045308f9930cdcb73413029e90d3fb9472f56d8c4fcf9496ec87,110,true
