timestamp,wallet_address,token_address,token_symbol,amount_raw,amount
2022-05-05T13:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xa767db9701fe2ac7c10c60651018333c6c0a3340,,6061200090317662408090450712,
2022-05-05T13:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0x72029a101ea0783af587cd8da27e9de7bace061a,,1995047840661100268804791660,
2022-05-05T12:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xa767db9701fe2ac7c10c60651018333c6c0a3340,,4102058838604751873787583410,
2022-05-05T10:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xa767db9701fe2ac7c10c60651018333c6c0a3340,,2657781153928663596831070785,
2022-05-05T09:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xa767db9701fe2ac7c10c60651018333c6c0a3340,,1140962659546499926511454493,
2022-05-05T08:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0x72c5192e420b604af118f891c1057836b39291a4,,2986499453250351503453445750,
2022-05-05T07:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xc00e94cb662c3520282e6f5717214004a7f26888,,9,
2022-05-05T07:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0x72c5192e420b604af118f891c1057836b39291a4,,1761350977568499288125863045,
2022-05-05T04:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0x762b5fc230d1ad94269d4ae42865554328876f7a,,3009800577149136742369139315,
2022-05-05T03:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0xc00e94cb662c3520282e6f5717214004a7f26888,,6615000000000000000000,
2022-05-05T03:00:00+00:00,0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,0x762b5fc230d1ad94269d4ae42865554328876f7a,,1622930594888714711421446814,
