blockchain,version,block_time,entrypoint_contract,tx_hash,sender,userop_hash,success,paymaster,op_fee,op_fee_usd,bundler,tx_to,gas_symbol,tx_fee,tx_fee_usd,beneficiary
arbitrum,v0.5,2023-04-19T20:59:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xd5bc9ffa08684bb02ef1f5ca66bdfd484c91bd569c4f3815f07ec20bea859d80,0x430c3c50fb0057361c3847e9ff8b9a3816d42e53,0x25aeccb962abc3b3f3b66ae90021686fa011e6bd04dcc75392b33d5c1c5d8854,TRUE,0xa880eae8900eb59bf7dad9bdb741a086238adca9,0.000604,1.19609516,0x433704c40f80cbff02e86fd36bc8bac5e31eb0c1,0x0576a174d229e3cfa37253523e645a78a0c91b57,ETH,0.000678967,1.344552353,0x433704c40f80cbff02e86fd36bc8bac5e31eb0c1
arbitrum,v0.5,2023-04-17T18:57:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xf5fc19d3b04606b745e1601211bf65dd41b0368d3a8b88f262f8a0ebe3836fc8,0x8ad3bec3b15a100cce50869affd35f72d946615c,0xed87d007cdcc781b8cb4e8acdd8c657aa105a00cc1f08ba69670f7c72b86b570,TRUE,0x0000000000000000000000000000000000000000,0.000008619,0.017982595,0xdf0a70aea6aa475135e3cd4fc22a49258dad0eb0,0x0576a174d229e3cfa37253523e645a78a0c91b57,ETH,0.000153569,0.320405243,0xd7735a92f35afc4c7bfd78dc56fc83b8f56daa2a
arbitrum,v0.5,2023-04-17T20:50:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xc03ad99f36a63a5e5f5a0be2ac566e80c0a5a7e095c64991bc7b29ac296e39d1,0x8ad3bec3b15a100cce50869affd35f72d946615c,0x146e55dc4848ff21f9897ac1838016d841c5477b1fdc79a4e27ffe2d0f9c640d,TRUE,0x0000000000000000000000000000000000000000,0.000008619,0.017904852,0xdf0a70aea6aa475135e3cd4fc22a49258dad0eb0,0x0576a174d229e3cfa37253523e645a78a0c91b57,ETH,0.000168417,0.349865047,0xd7735a92f35afc4c7bfd78dc56fc83b8f56daa2a
arbitrum,v0.6,2023-06-12T20:55:00Z,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x4975166103821e57f0d84ec5e33f5d0d7e1361705b7a3de0f932f4474e0d88ee,0xdb24c266023069ffb7f4b25462d4802e6d88d1cf,0x1d147b2ca46e120a7ea4b5aa9f4dea0f1b07949cb430e12d8e83935234937eed,TRUE,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0.000233668,0.406257174,0x25df024637d4e56c1ae9563987bf3e92c9f534c0,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,ETH,0.000249866,0.434419352,0x25df024637d4e56c1ae9563987bf3e92c9f534c0
arbitrum,v0.6,2023-06-16T00:53:00Z,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xb87d911afbb4025a498d6a19e08e42432417898a7af238f53b9aba957f3fe506,0x171620a0dfd15954c5eb2cf7065b5bb2035ed21e,0x45f1e95819a7173a488f6694bdc95bee27b329666fd23ebcc2f0a034700cb900,TRUE,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0.000209805,0.34902657,0x25df024637d4e56c1ae9563987bf3e92c9f534c0,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,ETH,0.000236455,0.393361809,0x25df024637d4e56c1ae9563987bf3e92c9f534c0
arbitrum,v0.6,2023-06-15T16:22:00Z,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xb71bf6d8673130bc3fba3130f16c076b11ae68ded3f78bac7441394eae4d60ef,0x4deb97a8b13b297a568f929dab63fbd3e601f1db,0x4848943f2f8ff90f5393f3d19c22c2460877dce55452423826276379c9b11072,TRUE,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0.000300684,0.493641122,0x25df024637d4e56c1ae9563987bf3e92c9f534c0,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,ETH,0.000326301,0.535698305,0x25df024637d4e56c1ae9563987bf3e92c9f534c0
avalanche_c,v0.5,2023-05-02T09:40:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0x3c6de4059755b585381bab8bc228e32d7484602def61d025cfd8720c5013e937,0x5023dcb71e64f2890649a8d99e04a5c3c5e115b0,0x3fab748486ed759642dd60ac236c91129f2a9b579a3d7d15ae1d6892ac9289ce,TRUE,0x6b138aa2989e60b25b305528d7c91dd2c8cb756c,0.015715575,0.261192857,0x9c98b1528c26cf36e78527308c1b21d89baed700,0x0576a174d229e3cfa37253523e645a78a0c91b57,WAVAX,0.015446625,0.256722908,0x9c98b1528c26cf36e78527308c1b21d89baed700
avalanche_c,v0.5,2023-04-19T14:29:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0x2d5be20c2c82ee5a02f914d178585b45f0696a822171a45ea25c804a26810ac6,0xb87d01334b29f172c26fd07dc9273b33c6bd75a9,0x67cca6011b74a070afbe00bddd41eee1a83eb3b00d0b3c71a03bf00fd4e377de,TRUE,0x0000000000000000000000000000000000000000,0.02314489713259951,0.45688026939751425,0xae13fcfb77eb02361c196e30105e91867afac369,0x0576a174d229e3cfa37253523e645a78a0c91b57,WAVAX,0.023965052980341715,0.4730701458319454,0xd7735a92f35afc4c7bfd78dc56fc83b8f56daa2a
avalanche_c,v0.5,2023-05-02T10:11:00Z,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xed2e155b7bfb8503d80bd83f8e60fc585e7efdd992c1419ee5f8fb434bd615ce,0x5023dcb71e64f2890649a8d99e04a5c3c5e115b0,0x49c6ab36fda65d5640dccef39069cee3105cf5b7758eb9a1bf5b0ba39dcd54fa,TRUE,0x6b138aa2989e60b25b305528d7c91dd2c8cb756c,0.015799582140352857,0.26258905517266445,0x9c98b1528c26cf36e78527308c1b21d89baed700,0x0576a174d229e3cfa37253523e645a78a0c91b57,WAVAX,0.015529194476099536,0.2580952121927743,0x9c98b1528c26cf36e78527308c1b21d89baed700
avalanche_c,v0.6,2023-05-04T15:51:00Z,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x4ef2134f15c87ea2a43073ec812b89499f83baebadce8ce80153964af8028f34,0x4dae741c81dabe5bb420fdc1bc91d2ff6a41cf6e,0xa2e67cb1d200e2a1d26981535fb152ff82a76f156347a4511f57a39716e63e2a,TRUE,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0.006672342797294082,0.11309621041413469,0x25df024637d4e56c1ae9563987bf3e92c9f534c0,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,WAVAX,0.006394668739888383,0.10838963514110808,0x25df024637d4e56c1ae9563987bf3e92c9f534c0
