blockchain,project,version,pool,token_id,token_address,token_type
bnb,ellipsis_finance,1,0xab499095961516f058245c1395f9c0410764b6cd,0,0x14016e85a25aeb13065688cafb43044c2ef86784,underlying_token_bought
bnb,ellipsis_finance,1,0xab499095961516f058245c1395f9c0410764b6cd,3,0x5f7f6cb266737b89f7af86b30f03ae94334b83e9,underlying_token_bought
bnb,ellipsis_finance,1,0xab499095961516f058245c1395f9c0410764b6cd,2,0xa6fdea1655910c504e974f7f1b520b74be21857b,underlying_token_bought
bnb,ellipsis_finance,1,0xab499095961516f058245c1395f9c0410764b6cd,1,0xaed19dab3cd68e4267aec7b2479b1ed2144ad77f,underlying_token_bought
bnb,ellipsis_finance,1,0xa74077eb97778f4e94d79ea60092d0f4831d05a6,1,0xe9e7cea3dedca5984780bafc599bd69add087d56,underlying_token_bought
bnb,ellipsis_finance,1,0xa74077eb97778f4e94d79ea60092d0f4831d05a6,2,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,underlying_token_bought
bnb,ellipsis_finance,1,0xa74077eb97778f4e94d79ea60092d0f4831d05a6,3,0x55d398326f99059ff775485246999027b3197955,underlying_token_bought
fantom,curve,2,0x0fa949783947bf6c1b171db13aeacbb488845b3f,0,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,underlying_token_bought
fantom,curve,2,0x0fa949783947bf6c1b171db13aeacbb488845b3f,1,0x04068da6c83afcfa0e13ba15a6696662335d5b75,underlying_token_bought
fantom,curve,2,0x0fa949783947bf6c1b171db13aeacbb488845b3f,2,0x049d68029688eabf473097a2fc38ef61633a3c7a,underlying_token_bought
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,0,0xdc301622e621166bd8e82f2ca0a26c13ad0be355,pool_token
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,1,0x27e611fd27b276acbd5ffd632e5eaebec9761e40,pool_token
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,0,0xdc301622e621166bd8e82f2ca0a26c13ad0be355,underlying_token_bought
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,1,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,underlying_token_bought
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,2,0x04068da6c83afcfa0e13ba15a6696662335d5b75,underlying_token_bought
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,1,0x27e611fd27b276acbd5ffd632e5eaebec9761e40,underlying_token_sold
fantom,curve,2,0x7a656b342e14f745e2b164890e88017e27ae7320,2,0x27e611fd27b276acbd5ffd632e5eaebec9761e40,underlying_token_sold
